PubChem CID,Titles,URLs
3396,16 validated hits from 20 prioritized compounds by Weston et al.,https://www.biorxiv.org/content/10.1101/2020.03.25.008482v2
6536,16 validated hits from 20 prioritized compounds by Weston et al.,https://www.biorxiv.org/content/10.1101/2020.03.25.008482v2
3005573,16 validated hits from 20 prioritized compounds by Weston et al.,https://www.biorxiv.org/content/10.1101/2020.03.25.008482v2
2733526,16 validated hits from 20 prioritized compounds by Weston et al.,https://www.biorxiv.org/content/10.1101/2020.03.25.008482v2
4927,16 validated hits from 20 prioritized compounds by Weston et al.,https://www.biorxiv.org/content/10.1101/2020.03.25.008482v2
5440,16 validated hits from 20 prioritized compounds by Weston et al.,https://www.biorxiv.org/content/10.1101/2020.03.25.008482v2
2801,16 validated hits from 20 prioritized compounds by Weston et al.,https://www.biorxiv.org/content/10.1101/2020.03.25.008482v2
2165,16 validated hits from 20 prioritized compounds by Weston et al.,https://www.biorxiv.org/content/10.1101/2020.03.25.008482v2
1201549,16 validated hits from 20 prioritized compounds by Weston et al.,https://www.biorxiv.org/content/10.1101/2020.03.25.008482v2
441383,16 validated hits from 20 prioritized compounds by Weston et al.,https://www.biorxiv.org/content/10.1101/2020.03.25.008482v2
3372,16 validated hits from 20 prioritized compounds by Weston et al.,https://www.biorxiv.org/content/10.1101/2020.03.25.008482v2
1102,3 drugs that regulate autophagy and shown to block COVID-19,https://www.biorxiv.org/content/10.1101/2020.04.15.997254v1
24964624,3 drugs that regulate autophagy and shown to block COVID-19,https://www.biorxiv.org/content/10.1101/2020.04.15.997254v1
92727,27 hits from an in-vitro COVID-19 drug screen from Jeon et al.,https://www.biorxiv.org/content/10.1101/2020.03.20.999730v1
2165,27 hits from an in-vitro COVID-19 drug screen from Jeon et al.,https://www.biorxiv.org/content/10.1101/2020.03.20.999730v1
10206,27 hits from an in-vitro COVID-19 drug screen from Jeon et al.,https://www.biorxiv.org/content/10.1101/2020.03.20.999730v1
154257,27 hits from an in-vitro COVID-19 drug screen from Jeon et al.,https://www.biorxiv.org/content/10.1101/2020.03.20.999730v1
166548,27 hits from an in-vitro COVID-19 drug screen from Jeon et al.,https://www.biorxiv.org/content/10.1101/2020.03.20.999730v1
135449332,27 hits from an in-vitro COVID-19 drug screen from Jeon et al.,https://www.biorxiv.org/content/10.1101/2020.03.20.999730v1
5284373,27 hits from an in-vitro COVID-19 drug screen from Jeon et al.,https://www.biorxiv.org/content/10.1101/2020.03.20.999730v1
3955,27 hits from an in-vitro COVID-19 drug screen from Jeon et al.,https://www.biorxiv.org/content/10.1101/2020.03.20.999730v1
5284613,27 hits from an in-vitro COVID-19 drug screen from Jeon et al.,https://www.biorxiv.org/content/10.1101/2020.03.20.999730v1
2724385,27 hits from an in-vitro COVID-19 drug screen from Jeon et al.,https://www.biorxiv.org/content/10.1101/2020.03.20.999730v1
16220172,27 hits from an in-vitro COVID-19 drug screen from Jeon et al.,https://www.biorxiv.org/content/10.1101/2020.03.20.999730v1
441207,27 hits from an in-vitro COVID-19 drug screen from Jeon et al.,https://www.biorxiv.org/content/10.1101/2020.03.20.999730v1
46220502,27 hits from an in-vitro COVID-19 drug screen from Jeon et al.,https://www.biorxiv.org/content/10.1101/2020.03.20.999730v1
5475,27 hits from an in-vitro COVID-19 drug screen from Jeon et al.,https://www.biorxiv.org/content/10.1101/2020.03.20.999730v1
6238,27 hits from an in-vitro COVID-19 drug screen from Jeon et al.,https://www.biorxiv.org/content/10.1101/2020.03.20.999730v1
6918155,27 hits from an in-vitro COVID-19 drug screen from Jeon et al.,https://www.biorxiv.org/content/10.1101/2020.03.20.999730v1
275182,27 hits from an in-vitro COVID-19 drug screen from Jeon et al.,https://www.biorxiv.org/content/10.1101/2020.03.20.999730v1
73078,27 hits from an in-vitro COVID-19 drug screen from Jeon et al.;All 30 drugs from a screen for COVID-19 by Riva et al. ,https://www.biorxiv.org/content/10.1101/2020.03.20.999730v1;https://www.biorxiv.org/content/10.1101/2020.04.16.044016v1
16779,27 hits from an in-vitro COVID-19 drug screen from Jeon et al.,https://www.biorxiv.org/content/10.1101/2020.03.20.999730v1
439501,27 hits from an in-vitro COVID-19 drug screen from Jeon et al.,https://www.biorxiv.org/content/10.1101/2020.03.20.999730v1
3085092,27 hits from an in-vitro COVID-19 drug screen from Jeon et al.,https://www.biorxiv.org/content/10.1101/2020.03.20.999730v1
3598,27 hits from an in-vitro COVID-19 drug screen from Jeon et al.,https://www.biorxiv.org/content/10.1101/2020.03.20.999730v1
444795,All 30 drugs from a screen for COVID-19 by Riva et al. ,https://www.biorxiv.org/content/10.1101/2020.04.16.044016v1
10173277,All 30 drugs from a screen for COVID-19 by Riva et al. ,https://www.biorxiv.org/content/10.1101/2020.04.16.044016v1
108143,All 30 drugs from a screen for COVID-19 by Riva et al. ,https://www.biorxiv.org/content/10.1101/2020.04.16.044016v1
159501,All 30 drugs from a screen for COVID-19 by Riva et al. ,https://www.biorxiv.org/content/10.1101/2020.04.16.044016v1
9820475,All 30 drugs from a screen for COVID-19 by Riva et al. ,https://www.biorxiv.org/content/10.1101/2020.04.16.044016v1
5381,All 30 drugs from a screen for COVID-19 by Riva et al. ,https://www.biorxiv.org/content/10.1101/2020.04.16.044016v1
2247,All 30 drugs from a screen for COVID-19 by Riva et al. ,https://www.biorxiv.org/content/10.1101/2020.04.16.044016v1
115210,All 30 drugs from a screen for COVID-19 by Riva et al. ,https://www.biorxiv.org/content/10.1101/2020.04.16.044016v1
131664,All 30 drugs from a screen for COVID-19 by Riva et al. ,https://www.biorxiv.org/content/10.1101/2020.04.16.044016v1
5284513,All 30 drugs from a screen for COVID-19 by Riva et al. ,https://www.biorxiv.org/content/10.1101/2020.04.16.044016v1
130786,All 30 drugs from a screen for COVID-19 by Riva et al. ,https://www.biorxiv.org/content/10.1101/2020.04.16.044016v1
68719553,All 30 drugs from a screen for COVID-19 by Riva et al. ,https://www.biorxiv.org/content/10.1101/2020.04.16.044016v1
208917,All 30 drugs from a screen for COVID-19 by Riva et al. ,https://www.biorxiv.org/content/10.1101/2020.04.16.044016v1
72430,All 30 drugs from a screen for COVID-19 by Riva et al. ,https://www.biorxiv.org/content/10.1101/2020.04.16.044016v1
70945511,All 30 drugs from a screen for COVID-19 by Riva et al. ,https://www.biorxiv.org/content/10.1101/2020.04.16.044016v1
6476696,All 30 drugs from a screen for COVID-19 by Riva et al. ,https://www.biorxiv.org/content/10.1101/2020.04.16.044016v1
71388,Reversal of Infected Host Gene Expression Identifies Repurposed Drug Candidates for COVID-19,https://www.biorxiv.org/content/10.1101/2020.04.07.030734v1
126941,Reversal of Infected Host Gene Expression Identifies Repurposed Drug Candidates for COVID-19,https://www.biorxiv.org/content/10.1101/2020.04.07.030734v1
5287969,Reversal of Infected Host Gene Expression Identifies Repurposed Drug Candidates for COVID-19,https://www.biorxiv.org/content/10.1101/2020.04.07.030734v1
3062316,Reversal of Infected Host Gene Expression Identifies Repurposed Drug Candidates for COVID-19,https://www.biorxiv.org/content/10.1101/2020.04.07.030734v1
6099,Reversal of Infected Host Gene Expression Identifies Repurposed Drug Candidates for COVID-19,https://www.biorxiv.org/content/10.1101/2020.04.07.030734v1
4499,Reversal of Infected Host Gene Expression Identifies Repurposed Drug Candidates for COVID-19,https://www.biorxiv.org/content/10.1101/2020.04.07.030734v1
11977753,Reversal of Infected Host Gene Expression Identifies Repurposed Drug Candidates for COVID-19,https://www.biorxiv.org/content/10.1101/2020.04.07.030734v1
387447,Reversal of Infected Host Gene Expression Identifies Repurposed Drug Candidates for COVID-19,https://www.biorxiv.org/content/10.1101/2020.04.07.030734v1
446155,Reversal of Infected Host Gene Expression Identifies Repurposed Drug Candidates for COVID-19,https://www.biorxiv.org/content/10.1101/2020.04.07.030734v1
439530,Reversal of Infected Host Gene Expression Identifies Repurposed Drug Candidates for COVID-19,https://www.biorxiv.org/content/10.1101/2020.04.07.030734v1
3117,7 drugs from a screen of Mpro inhibitors from Zhenming Jin et al. Nature 2020,https://www.nature.com/articles/s41586-020-2223-y_reference.pdf
3194,7 drugs from a screen of Mpro inhibitors from Zhenming Jin et al. Nature 2020,https://www.nature.com/articles/s41586-020-2223-y_reference.pdf
4124851,7 drugs from a screen of Mpro inhibitors from Zhenming Jin et al. Nature 2020,https://www.nature.com/articles/s41586-020-2223-y_reference.pdf
479503,7 drugs from a screen of Mpro inhibitors from Zhenming Jin et al. Nature 2020,https://www.nature.com/articles/s41586-020-2223-y_reference.pdf
2577,7 drugs from a screen of Mpro inhibitors from Zhenming Jin et al. Nature 2020,https://www.nature.com/articles/s41586-020-2223-y_reference.pdf
219104,7 drugs from a screen of Mpro inhibitors from Zhenming Jin et al. Nature 2020,https://www.nature.com/articles/s41586-020-2223-y_reference.pdf
11313622,7 drugs from a screen of Mpro inhibitors from Zhenming Jin et al. Nature 2020,https://www.nature.com/articles/s41586-020-2223-y_reference.pdf
4413,Nafamostat is a Potent Inhibitor of Middle East Respiratory Syndrome Coronavirus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5075056/
54684141,3 drugs that display antiviral activity against FMDV ,https://www.sciencedirect.com/science/article/pii/S0753332219325697
5281078,3 drugs that display antiviral activity against FMDV ,https://www.sciencedirect.com/science/article/pii/S0753332219325697
37542,Triple Combination for the Treatment of Chronic Hepatitis C,https://clinicaltrials.gov/ct2/show/NCT00088504
153241,Triple Combination for the Treatment of Chronic Hepatitis C,https://clinicaltrials.gov/ct2/show/NCT00088504
