drugbank_id	name	z_score_pan	z_score_sars	z_score_mers	z_score_ibv	z_score_mhv	p_value_pan	p_value_sars	p_value_mers	p_value_ibv	p_value_mhv
DB04824	Phenolphthalein	-2.375	-1.552	-0.094	-3.13	-3.168	0.013	0.05	0.314	0.006	0.003
DB00877	Sirolimus	-2.354	-0.9	1.807	-1.041	-2.253	0.006	0.158	0.959	0.105	0.015
DB00570	Vinblastine	-2.281	-1.63	-0.296	-2.935	-1.595	0.014	0.032	0.297	0.004	0.04
DB00812	Phenylbutazone	-2.25	-0.596	2.416	-3.053	-2.945	0.02	0.174	0.99	0.004	0.005
DB04575	Quinestrol	-2.226	-1.519	-0.325	-4.306	-2.603	0.015	0.04	0.297	0.01	0.007
DB04938	Ospemifene	-2.226	-1.519	-0.325	-4.306	-2.603	0.015	0.04	0.297	0.01	0.007
DB09092	Xanthinol	-2.226	-1.519	-0.325	-4.306	-2.603	0.015	0.04	0.297	0.01	0.007
DB09317	"Synthetic Conjugated Estrogens, A"	-2.226	-1.519	-0.325	-4.306	-2.603	0.015	0.04	0.297	0.01	0.007
DB09318	"Synthetic Conjugated Estrogens, B"	-2.226	-1.519	-0.325	-4.306	-2.603	0.015	0.04	0.297	0.01	0.007
DB01183	Naloxone	-2.22	-0.624	-0.057	-3.147	-2.11	0.021	0.203	0.354	0.004	0.011
DB00242	Cladribine	-2.214	-0.471	-2.311	-2.873	-1.398	0.02	0.237	0.015	0.005	0.064
DB02615	Compound 19	-2.204	-1.202	-0.866	-4.336	-2.812	0.016	0.071	0.101	0	0.005
DB01275	Hydralazine	-2.203	-1.334	-1.919	-1.127	-0.4	0.013	0.071	0.021	0.094	0.264
DB08231	Myristic acid	-2.19	-2.145	1.411	0.502	-2.117	0.018	0.019	0.883	0.653	0.028
DB00170	Menadione	-2.174	-0.526	-1.844	-0.459	-0.62	0.012	0.222	0.025	0.239	0.197
DB01248	Docetaxel	-2.17	-1.66	0.027	0.13	-2.159	0.014	0.02	0.389	0.482	0.014
DB05465	Tandutinib	-2.11	-0.494	-0.661	-1.587	-2.228	0.02	0.231	0.214	0.041	0.015
DB08896	Regorafenib	-2.059	-0.73	0.47	-0.396	-3.275	0.017	0.154	0.582	0.297	0.008
DB08888	Ocriplasmin	-2.038	-0.885	0.652	-2.752	-2.986	0.032	0.12	0.43	0.008	0.005
DB00361	Vinorelbine	-2.028	-0.664	-1.699	-1.879	-1.45	0.02	0.132	0.031	0.025	0.052
DB07502	"4-bromo-6-(6-hydroxy-1,2-benzisoxazol-3-yl)benzene-1,3-diol"	-2.02	-1.373	-0.983	-3.697	-1.956	0.019	0.054	0.117	0.003	0.017
DB06871	17-METHYL-17-ALPHA-DIHYDROEQUILENIN	-2.016	-1.281	-0.171	-4.07	-2.662	0.021	0.057	0.345	0	0.008
DB06898	"4-(2-amino-1-methyl-1H-imidazo[4,5-b]pyridin-6-yl)phenol"	-2.016	-1.281	-0.171	-4.07	-2.662	0.021	0.057	0.345	0	0.008
DB07086	"4-[(1S,2S,5S)-5-(HYDROXYMETHYL)-8-METHYL-3-OXABICYCLO[3.3.1]NON-7-EN-2-YL]PHENOL"	-2.016	-1.281	-0.171	-4.07	-2.662	0.021	0.057	0.345	0	0.008
DB07087	"4-[(1S,2S,5S,9R)-5-(HYDROXYMETHYL)-8,9-DIMETHYL-3-OXABICYCLO[3.3.1]NON-7-EN-2-YL]PHENOL"	-2.016	-1.281	-0.171	-4.07	-2.662	0.021	0.057	0.345	0	0.008
DB07195	"4-[(1S,2S,5S)-5-(HYDROXYMETHYL)-6,8,9-TRIMETHYL-3-OXABICYCLO[3.3.1]NON-7-EN-2-YL]PHENOL"	-2.016	-1.281	-0.171	-4.07	-2.662	0.021	0.057	0.345	0	0.008
DB07678	"(9ALPHA,13BETA,17BETA)-2-[(1Z)-BUT-1-EN-1-YL]ESTRA-1,3,5(10)-TRIENE-3,17-DIOL"	-2.016	-1.281	-0.171	-4.07	-2.662	0.021	0.057	0.345	0	0.008
DB07707	"(9BETA,11ALPHA,13ALPHA,14BETA,17ALPHA)-11-(METHOXYMETHYL)ESTRA-1(10),2,4-TRIENE-3,17-DIOL"	-2.016	-1.281	-0.171	-4.07	-2.662	0.021	0.057	0.345	0	0.008
DB07708	3-CHLORO-2-(4-HYDROXYPHENYL)-2H-INDAZOL-5-OL	-2.016	-1.281	-0.171	-4.07	-2.662	0.021	0.057	0.345	0	0.008
DB07712	3-ETHYL-2-(4-HYDROXYPHENYL)-2H-INDAZOL-5-OL	-2.016	-1.281	-0.171	-4.07	-2.662	0.021	0.057	0.345	0	0.008
DB07932	"dimethyl (1R,4S)-5,6-bis(4-hydroxyphenyl)-7-oxabicyclo[2.2.1]hepta-2,5-diene-2,3-dicarboxylate"	-2.016	-1.281	-0.171	-4.07	-2.662	0.021	0.057	0.345	0	0.008
DB08048	"4-(6-HYDROXY-1H-INDAZOL-3-YL)BENZENE-1,3-DIOL"	-2.016	-1.281	-0.171	-4.07	-2.662	0.021	0.057	0.345	0	0.008
DB08320	"DIETHYL (1R,2S,3R,4S)-5,6-BIS(4-HYDROXYPHENYL)-7-OXABICYCLO[2.2.1]HEPT-5-ENE-2,3-DICARBOXYLATE"	-2.016	-1.281	-0.171	-4.07	-2.662	0.021	0.057	0.345	0	0.008
DB08398	"2-Amino-1-methyl-6-phenylimidazo(4,5-b)pyridine"	-2.016	-1.281	-0.171	-4.07	-2.662	0.021	0.057	0.345	0	0.008
DB08595	"4-[(1S,2R,5S)-4,4,8-TRIMETHYL-3-OXABICYCLO[3.3.1]NON-7-EN-2-YL]PHENOL"	-2.016	-1.281	-0.171	-4.07	-2.662	0.021	0.057	0.345	0	0.008
DB03909	"Adenosine-5'-[Beta, Gamma-Methylene]Triphosphate"	-1.977	-1.998	-0.681	0.984	-1.045	0.016	0.013	0.104	0.706	0.092
DB04967	Lucanthone	-1.967	-0.462	1.272	-3.566	-1.348	0.019	0.26	0.882	0	0.063
DB01136	Carvedilol	-1.944	-1.16	0.338	-0.943	-1.153	0.023	0.097	0.548	0.109	0.074
DB02513	Thymol	-1.926	-1.821	-1.283	-1.915	-1.948	0.001	0.011	0.128	0.003	0.001
DB01394	Colchicine	-1.919	-1.583	-1.525	-2.157	-1.53	0.027	0.034	0.043	0.016	0.05
DB00431	Lindane	-1.917	-1.553	-0.284	-3.128	-2.083	0.018	0.056	0.27	0.002	0.017
DB00098	Antithymocyte immunoglobulin (rabbit)	-1.911	1.204	-3.221	-2.34	-1.439	0.016	0.851	0.002	0.012	0.053
DB00321	Amitriptyline	-1.89	-0.179	1.483	1.131	-2.334	0.03	0.336	0.918	0.87	0.022
DB00668	Epinephrine	-1.88	-1.024	-0.093	-0.995	-1.616	0.031	0.142	0.529	0.132	0.055
DB00970	Dactinomycin	-1.879	-1.529	0.651	-2.826	-0.699	0.027	0.035	0.444	0.003	0.155
DB07886	Hydrocortisone	-1.876	-1.789	0.208	-0.722	-2.04	0.013	0.01	0.189	0.165	0.01
DB00294	Etonogestrel	-1.821	-0.87	-0.77	-3.368	-2.358	0.023	0.129	0.167	0.004	0.013
DB00304	Desogestrel	-1.821	-0.87	-0.77	-3.368	-2.358	0.023	0.129	0.167	0.004	0.013
DB02538	"N-[4-(2-Methylimidazo[1,2-a]Pyridin-3-Yl)-2-Pyrimidinyl]Acetamide"	-1.769	-1.216	0.024	-2.264	-2.202	0.027	0.057	0.427	0.011	0.016
DB04006	"[2-Amino-6-(2,6-Difluoro-Benzoyl)-Imidazo[1,2-a]Pyridin-3-Yl]-Phenyl-Methanone"	-1.769	-1.216	0.024	-2.264	-2.202	0.027	0.057	0.427	0.011	0.016
DB04518	"3-[4-(2,4-Dimethyl-Thiazol-5-Yl)-Pyrimidin-2-Ylamino]-Phenol"	-1.769	-1.216	0.024	-2.264	-2.202	0.027	0.057	0.427	0.011	0.016
DB07790	N-(2-METHOXYETHYL)-4-({4-[2-METHYL-1-(1-METHYLETHYL)-1H-IMIDAZOL-5-YL]PYRIMIDIN-2-YL}AMINO)BENZENESULFONAMIDE	-1.769	-1.216	0.024	-2.264	-2.202	0.027	0.057	0.427	0.011	0.016
DB08285	"(2R)-2-{[4-(benzylamino)-8-(1-methylethyl)pyrazolo[1,5-a][1,3,5]triazin-2-yl]amino}butan-1-ol"	-1.766	-0.75	-1.268	-2.488	-1.104	0.027	0.159	0.061	0.006	0.085
DB00714	Apomorphine	-1.737	-1.352	0.559	0.35	-0.632	0.033	0.065	0.647	0.59	0.202
DB01420	Testosterone propionate	-1.736	-0.619	-0.939	-3.533	-1.653	0.027	0.178	0.123	0.004	0.035
DB01065	Melatonin	-1.72	-1.423	-0.002	-1.182	-1.422	0.029	0.056	0.4	0.103	0.058
DB06710	Methyltestosterone	-1.706	-0.877	-1.222	-3.214	-1.943	0.024	0.119	0.07	0.002	0.02
DB00108	Natalizumab	-1.692	-0.45	0.736	-3.471	-1.654	0.034	0.216	0.653	0	0.044
DB00947	Fulvestrant	-1.671	-0.497	-0.991	-2.337	-2.578	0.031	0.22	0.105	0.01	0.009
DB08900	Teduglutide	-1.656	-1.58	-1.436	-1.742	-1.847	0.004	0.044	0.085	0.007	0.002
DB00338	Omeprazole	-1.652	-0.599	1.045	-0.394	-0.525	0.031	0.23	0.767	0.279	0.26
DB00367	Levonorgestrel	-1.635	-0.486	-1.269	-3.168	-1.901	0.025	0.191	0.068	0.003	0.021
DB06287	Temsirolimus	-1.623	-0.383	0.159	-0.806	-1.277	0.043	0.314	0.202	0.156	0.069
DB01103	Quinacrine	-1.62	-0.526	-0.089	-0.723	-0.726	0.044	0.241	0.378	0.173	0.188
DB06782	Dimercaprol	-1.603	-0.976	-1.473	-0.787	-1.403	0.041	0.09	0.056	0.161	0.035
DB00624	Testosterone	-1.602	-0.875	-1.498	-2.498	-1.825	0.035	0.128	0.043	0.01	0.031
DB06822	Tinzaparin	-1.602	0.092	-1.135	-3.614	-2.424	0.043	0.449	0.058	0.004	0.011
DB00700	Eplerenone	-1.588	-1.176	0.063	-0.933	-1.76	0.028	0.08	0.179	0.118	0.015
DB01427	Amrinone	-1.583	-1.261	-1.288	-0.075	-0.859	0.05	0.095	0.073	0.444	0.162
DB00162	Vitamin A	-1.58	-0.65	-0.384	-1.741	-1.297	0.045	0.163	0.27	0.033	0.072
DB09148	Florbetaben (18F)	-1.578	-1.519	-0.325	-1.828	-1.872	0.034	0.04	0.297	0.024	0.02
DB09149	Florbetapir (18F)	-1.578	-1.519	-0.325	-1.828	-1.872	0.034	0.04	0.297	0.024	0.02
DB09151	Flutemetamol (18F)	-1.578	-1.519	-0.325	-1.828	-1.872	0.034	0.04	0.297	0.024	0.02
DB02091	"4-(2,4-Dimethyl-Thiazol-5-Yl)-Pyrimidin-2-Ylamine"	-1.57	-0.882	-1.694	-2.361	-2.01	0.044	0.119	0.028	0.009	0.02
DB02915	"4-(2,4-Dimethyl-1,3-thiazol-5-yl)-N-[4-(trifluoromethyl)phenyl]-2-pyrimidinamine"	-1.57	-0.882	-1.694	-2.361	-2.01	0.044	0.119	0.028	0.009	0.02
DB06844	"4-[(7-OXO-7H-THIAZOLO[5,4-E]INDOL-8-YLMETHYL)-AMINO]-N-PYRIDIN-2-YL-BENZENESULFONAMIDE"	-1.57	-0.882	-1.694	-2.361	-2.01	0.044	0.119	0.028	0.009	0.02
DB06948	2-ANILINO-6-CYCLOHEXYLMETHOXYPURINE	-1.57	-0.882	-1.694	-2.361	-2.01	0.044	0.119	0.028	0.009	0.02
DB07137	(2S)-N-[(3Z)-5-CYCLOPROPYL-3H-PYRAZOL-3-YLIDENE]-2-[4-(2-OXOIMIDAZOLIDIN-1-YL)PHENYL]PROPANAMIDE	-1.57	-0.882	-1.694	-2.361	-2.01	0.044	0.119	0.028	0.009	0.02
DB07203	6-CYCLOHEXYLMETHOXY-2-(3'-CHLOROANILINO) PURINE	-1.57	-0.882	-1.694	-2.361	-2.01	0.044	0.119	0.028	0.009	0.02
DB07539	"4-{5-[(Z)-(2-IMINO-4-OXO-1,3-THIAZOLIDIN-5-YLIDENE)METHYL]FURAN-2-YL}BENZOIC ACID"	-1.57	-0.882	-1.694	-2.361	-2.01	0.044	0.119	0.028	0.009	0.02
DB07852	"1-(3,5-DICHLOROPHENYL)-5-METHYL-1H-1,2,4-TRIAZOLE-3-CARBOXYLIC ACID"	-1.57	-0.882	-1.694	-2.361	-2.01	0.044	0.119	0.028	0.009	0.02
DB08178	"4-(4-methoxy-1H-pyrrolo[2,3-b]pyridin-3-yl)pyrimidin-2-amine"	-1.57	-0.882	-1.694	-2.361	-2.01	0.044	0.119	0.028	0.009	0.02
DB08182	"4-(4-propoxy-1H-pyrrolo[2,3-b]pyridin-3-yl)pyrimidin-2-amine"	-1.57	-0.882	-1.694	-2.361	-2.01	0.044	0.119	0.028	0.009	0.02
DB08218	"HYDROXY(OXO)(3-{[(2Z)-4-[3-(1H-1,2,4-TRIAZOL-1-YLMETHYL)PHENYL]PYRIMIDIN-2(5H)-YLIDENE]AMINO}PHENYL)AMMONIUM"	-1.57	-0.882	-1.694	-2.361	-2.01	0.044	0.119	0.028	0.009	0.02
DB08219	"4-METHYL-5-{(2E)-2-[(4-MORPHOLIN-4-YLPHENYL)IMINO]-2,5-DIHYDROPYRIMIDIN-4-YL}-1,3-THIAZOL-2-AMINE"	-1.57	-0.882	-1.694	-2.361	-2.01	0.044	0.119	0.028	0.009	0.02
DB08233	6-CYCLOHEXYLMETHYLOXY-2-(4'-HYDROXYANILINO)PURINE	-1.57	-0.882	-1.694	-2.361	-2.01	0.044	0.119	0.028	0.009	0.02
DB08241	4-(6-CYCLOHEXYLMETHOXY-9H-PURIN-2-YLAMINO)--BENZAMIDE	-1.57	-0.882	-1.694	-2.361	-2.01	0.044	0.119	0.028	0.009	0.02
DB08248	3-(6-CYCLOHEXYLMETHOXY-9H-PURIN-2-YLAMINO)-BENZENESULFONAMIDE	-1.57	-0.882	-1.694	-2.361	-2.01	0.044	0.119	0.028	0.009	0.02
DB08527	"1-[4-(AMINOSULFONYL)PHENYL]-1,6-DIHYDROPYRAZOLO[3,4-E]INDAZOLE-3-CARBOXAMIDE"	-1.57	-0.882	-1.694	-2.361	-2.01	0.044	0.119	0.028	0.009	0.02
DB01370	Aluminium	-1.565	-1.071	0.319	-0.894	-1.555	0.042	0.077	0.401	0.133	0.047
DB02197	"4-[(4-Imidazo[1,2-a]Pyridin-3-Ylpyrimidin-2-Yl)Amino]Benzenesulfonamide"	-1.56	-1.094	-0.171	-2.348	-2.061	0.042	0.083	0.345	0.01	0.017
DB00269	Chlorotrianisene	-1.553	-0.532	-0.983	-2.922	-2.234	0.047	0.184	0.117	0.01	0.012
DB01878	Benzophenone	-1.553	-0.532	-0.983	-2.922	-2.234	0.047	0.184	0.117	0.01	0.012
DB04020	"4-(2-{[4-{[3-(4-Chlorophenyl)Propyl]Sulfanyl}-6-(1-Piperazinyl)-1,3,5-Triazin-2-Yl]Amino}Ethyl)Phenol"	-1.553	-0.532	-0.983	-2.922	-2.234	0.047	0.184	0.117	0.01	0.012
DB05414	Pipendoxifene	-1.553	-0.532	-0.983	-2.922	-2.234	0.047	0.184	0.117	0.01	0.012
DB06401	Bazedoxifene	-1.553	-0.532	-0.983	-2.922	-2.234	0.047	0.184	0.117	0.01	0.012
DB06937	"4-(6-HYDROXY-BENZO[D]ISOXAZOL-3-YL)BENZENE-1,3-DIOL"	-1.553	-0.532	-0.983	-2.922	-2.234	0.047	0.184	0.117	0.01	0.012
DB07036	"(3aS,4R,9bR)-2,2-difluoro-4-(4-hydroxyphenyl)-6-(methoxymethyl)-1,2,3,3a,4,9b-hexahydrocyclopenta[c]chromen-8-ol"	-1.553	-0.532	-0.983	-2.922	-2.234	0.047	0.184	0.117	0.01	0.012
DB07567	"(2R,3R,4S)-3-(4-HYDROXYPHENYL)-4-METHYL-2-[4-(2-PYRROLIDIN-1-YLETHOXY)PHENYL]CHROMAN-6-OL"	-1.553	-0.532	-0.983	-2.922	-2.234	0.047	0.184	0.117	0.01	0.012
DB07638	"(3AS,4R,9BR)-2,2-DIFLUORO-4-(4-HYDROXYPHENYL)-1,2,3,3A,4,9B-HEXAHYDROCYCLOPENTA[C]CHROMEN-8-OL"	-1.553	-0.532	-0.983	-2.922	-2.234	0.047	0.184	0.117	0.01	0.012
DB07757	"(9aS)-4-bromo-9a-butyl-7-hydroxy-1,2,9,9a-tetrahydro-3H-fluoren-3-one"	-1.553	-0.532	-0.983	-2.922	-2.234	0.047	0.184	0.117	0.01	0.012
DB07933	Erteberel	-1.553	-0.532	-0.983	-2.922	-2.234	0.047	0.184	0.117	0.01	0.012
DB07991	N-[(1R)-3-(4-HYDROXYPHENYL)-1-METHYLPROPYL]-2-(2-PHENYL-1H-INDOL-3-YL)ACETAMIDE	-1.553	-0.532	-0.983	-2.922	-2.234	0.047	0.184	0.117	0.01	0.012
DB08020	"(3AS,4R,9BR)-4-(4-HYDROXYPHENYL)-6-(METHOXYMETHYL)-1,2,3,3A,4,9B-HEXAHYDROCYCLOPENTA[C]CHROMEN-8-OL"	-1.553	-0.532	-0.983	-2.922	-2.234	0.047	0.184	0.117	0.01	0.012
DB08737	"(3AS,4R,9BR)-4-(4-HYDROXYPHENYL)-1,2,3,3A,4,9B-HEXAHYDROCYCLOPENTA[C]CHROMEN-9-OL"	-1.553	-0.532	-0.983	-2.922	-2.234	0.047	0.184	0.117	0.01	0.012
DB09535	Octocrylene	-1.553	-0.532	-0.983	-2.922	-2.234	0.047	0.184	0.117	0.01	0.012
DB07715	Emodin	-1.537	-0.291	-1.986	-2.183	-1.745	0.035	0.268	0.023	0.016	0.029
DB00851	Dacarbazine	-1.53	-0.798	-0.147	-1.119	-0.408	0.036	0.171	0.125	0.08	0.259
DB06412	Oxymetholone	-1.526	-0.069	-2.646	-3.399	-1.196	0.041	0.354	0.006	0.007	0.059
DB00396	Progesterone	-1.525	-0.896	0.441	-1.028	-1.524	0.034	0.113	0.57	0.117	0.051
DB07471	"5-[5,6-BIS(METHYLOXY)-1H-BENZIMIDAZOL-1-YL]-3-{[1-(2-CHLOROPHENYL)ETHYL]OXY}-2-THIOPHENECARBOXAMIDE"	-1.521	-1.423	-0.867	-1.573	-0.51	0.036	0.04	0.143	0.04	0.202
DB02901	Stanolone	-1.516	-0.434	-1.395	-2.901	-1.55	0.043	0.226	0.06	0.006	0.037
DB03801	Lysine Nz-Carboxylic Acid	-1.509	-0.669	-0.304	-2.857	-2.39	0.04	0.163	0.307	0.005	0.013
DB00808	Indapamide	-1.506	-0.681	1.124	-0.658	-1.131	0.055	0.199	0.808	0.174	0.104
DB08683	"REL-(9R,12S)-9,10,11,12-TETRAHYDRO-9,12-EPOXY-1H-DIINDOLO[1,2,3-FG:3',2',1'-KL]PYRROLO[3,4-I][1,6]BENZODIAZOCINE-1,3(2H)-DIONE"	-1.506	-0.836	0.291	-2.352	-2.036	0.045	0.137	0.548	0.011	0.019
DB09257	Gimeracil	-1.501	-1.369	-1.157	-1.418	-1.685	0.009	0.106	0.102	0.016	0.002
DB01169	Arsenic trioxide	-1.492	-1.212	-1.406	-2.131	-0.943	0.04	0.056	0.062	0.005	0.123
DB02709	Resveratrol	-1.492	-0.995	-0.037	-2.178	-1.589	0.034	0.089	0.403	0.022	0.043
DB04224	Oleic Acid	-1.488	-0.897	1.589	-1.503	0.01	0.06	0.158	0.921	0.053	0.44
DB04407	4-[4-(4-Methyl-2-Methylamino-Thiazol-5-Yl)-Pyrimidin-2-Ylamino]-Phenol	-1.477	-1.896	-0.052	-1.452	-0.773	0.034	0.021	0.295	0.046	0.113
DB04574	Estrone sulfate	-1.475	-0.52	-1.047	-3.255	-1.762	0.037	0.212	0.103	0.005	0.025
DB00746	Deferoxamine	-1.473	-0.946	-1.87	-1.388	-1.618	0.046	0.102	0.032	0.077	0.032
DB07485	"4,4'-cyclohexane-1,1-diyldiphenol"	-1.473	-0.604	-0.889	-2.619	-2.056	0.041	0.169	0.137	0.011	0.014
DB00337	Pimecrolimus	-1.463	-0.7	0.274	-0.032	-0.948	0.058	0.202	0.394	0.383	0.125
DB00389	Carbimazole	-1.459	-1.276	-0.671	-1.335	-1.546	0.016	0.13	0.291	0.064	0.004
DB00984	Nandrolone phenpropionate	-1.459	-0.364	-0.983	-3.697	-1.956	0.052	0.247	0.117	0.003	0.017
DB07558	acetylleucyl-leucyl-norleucinal	-1.458	-1.002	0.083	-0.314	-0.492	0.04	0.122	0.136	0.305	0.236
DB02235	L-methionine (R)-S-oxide	-1.456	-1.37	-0.226	-1.557	-1.57	0.049	0.076	0.329	0.045	0.03
DB06714	Propylhexedrine	-1.449	-1.369	-0.778	-1.418	-1.607	0.03	0.106	0.258	0.016	0.007
DB00288	Amcinonide	-1.448	-1.056	0.262	-0.899	-1.733	0.046	0.12	0.21	0.112	0.016
DB00850	Perphenazine	-1.44	-1.082	1.125	0.002	-1.069	0.044	0.081	0.821	0.426	0.093
DB01380	Cortisone acetate	-1.439	-1.328	0.863	-0.258	-1.885	0.062	0.066	0.689	0.312	0.023
DB07460	2-({5-CHLORO-2-[(2-METHOXY-4-MORPHOLIN-4-YLPHENYL)AMINO]PYRIMIDIN-4-YL}AMINO)-N-METHYLBENZAMIDE	-1.435	-0.768	0.338	-0.519	-0.724	0.058	0.166	0.236	0.226	0.173
DB00305	Mitomycin	-1.434	-1.416	-0.78	-1.445	-1.62	0.013	0.054	0.264	0.014	0.008
DB04205	"Thymidine-3',5'-Diphosphate"	-1.432	-0.085	-0.167	-3.193	-1.503	0.031	0.431	0.103	0	0.036
DB06202	Lasofoxifene	-1.426	-0.618	-0.575	-2.584	-1.784	0.044	0.214	0.178	0.01	0.023
DB00061	Pegademase	-1.416	-1.519	0.411	-1.828	-1.385	0.049	0.04	0.328	0.024	0.043
DB00717	Norethisterone	-1.416	-0.477	-1.034	-2.881	-1.945	0.048	0.204	0.102	0.004	0.023
DB09495	Avobenzone	-1.41	-1.37	-0.78	-1.445	-1.62	0.02	0.093	0.264	0.014	0.008
DB00864	Tacrolimus	-1.408	-2.018	-0.16	1.039	1.25	0.062	0.016	0.291	0.806	0.875
DB00945	Acetylsalicylic acid	-1.406	-0.708	-0.885	-1.646	-0.966	0.044	0.155	0.147	0.04	0.119
DB06718	Stanozolol	-1.405	-0.039	-0.352	-3.335	-1.782	0.049	0.384	0.253	0.006	0.022
DB01366	Procaterol	-1.4	-0.56	-1.099	0.295	-1.629	0.058	0.235	0.06	0.531	0.027
DB03428	SU9516	-1.395	-0.717	-1.114	-1.636	-1.091	0.049	0.16	0.088	0.029	0.069
DB08355	"1-methyl-8-(phenylamino)-4,5-dihydro-1H-pyrazolo[4,3-h]quinazoline-3-carboxylic acid"	-1.393	-0.913	-0.356	-1.511	-0.67	0.051	0.111	0.262	0.04	0.154
DB01915	S-Hydroxycysteine	-1.383	-2.236	2.471	-0.81	-0.189	0.064	0.011	0.981	0.152	0.351
DB01259	Lapatinib	-1.373	-0.84	0.036	-0.863	-1.264	0.041	0.139	0.428	0.147	0.077
DB00005	Etanercept	-1.36	-1.561	-0.398	-0.053	0.023	0.072	0.052	0.2	0.391	0.423
DB11581	Venetoclax	-1.358	-1.097	0.165	-1.14	0.186	0.055	0.104	0.183	0.076	0.479
DB00522	Bentiromide	-1.348	-1.132	-0.951	-1.204	-1.543	0.007	0.122	0.146	0.026	0.002
DB00535	Cefdinir	-1.348	-0.534	1.894	-3.152	-2.296	0.052	0.191	0.978	0.006	0.014
DB08361	"2-{[(1R,2S)-2-aminocyclohexyl]amino}-4-[(3-methylphenyl)amino]pyrimidine-5-carboxamide"	-1.347	-1.831	-1.031	0.115	0.043	0.064	0.023	0.073	0.455	0.452
DB09063	Ceritinib	-1.343	-0.842	0.663	0.55	-1.646	0.05	0.129	0.679	0.662	0.052
DB04794	Bifonazole	-1.33	-0.367	-0.944	-2.62	-1.23	0.061	0.263	0.092	0.005	0.053
DB07592	(2R)-3-Methyl-1-phenyl-2-butanyl [(2S)-1-oxo-2-hexanyl]carbamate	-1.329	-0.131	0.515	-2.435	-0.617	0.051	0.382	0.549	0.009	0.192
DB07164	"N-cyclopropyl-4-pyrazolo[1,5-b]pyridazin-3-ylpyrimidin-2-amine"	-1.327	-0.909	-0.542	-1.132	-1.057	0.052	0.106	0.222	0.085	0.067
DB00002	Cetuximab	-1.326	-1.038	0.504	-0.39	-1.032	0.06	0.104	0.552	0.259	0.097
DB01493	Ethylestrenol	-1.324	0.092	-0.974	-3.229	-1.598	0.062	0.464	0.108	0.004	0.039
DB01406	Danazol	-1.322	-0.362	0.779	-0.966	-1.629	0.064	0.275	0.726	0.128	0.038
DB09042	Tedizolid phosphate	-1.321	-1.132	-0.563	-1.204	-1.543	0.013	0.122	0.335	0.026	0.002
DB09244	Pirlindole	-1.321	-1.132	-0.563	-1.204	-1.543	0.013	0.122	0.335	0.026	0.002
DB00957	Norgestimate	-1.319	-0.461	-0.79	-3.706	-1.503	0.054	0.243	0.158	0.004	0.036
