cmap_instance	drugbank_id	name	dose	cell_line	mers1_es	mers1_p	sars1_es	sars1_p	sars2_es	sars2_p
411	DB06819	Phenylbutyric acid	0.001	HL60	0.401645798	0	0.517736789	0.02	0	0.88
414	DB00783	Estradiol	0.00000001	ssMCF7	0	1	0.470951047	0.05	0	0.93
415	DB00179	Masoprocol	0.000001	ssMCF7	0	0.99	0	0.97	0.597242292	0
416	DB00363	Clozapine	0.00001	MCF7	0.369564775	0.01	0	0.99	-0.357614614	0.94
417	DB00679	Thioridazine	0.00001	MCF7	0.471435403	0	0	1	0	0.89
418	DB00502	Haloperidol	0.00001	MCF7	0	1	-0.641013568	1	-0.623464373	1
419	DB00477	Chlorpromazine	0.00001	MCF7	0	1	-0.505555556	1	0	0.96
421	DB00831	Trifluoperazine	0.00001	MCF7	0.547896651	0	0	1	0.477581597	0
422	DB00679	Thioridazine	0.000001	MCF7	0	1	0	0.99	0.504879346	0
423	DB02010	Staurosporine	0.0000001	MCF7	0.514495426	0	0	0.98	0	0.99
424	DB02656	LY-294002	0.0000001	MCF7	0	1	0	1	0.643653853	0
425	DB02010	Staurosporine	0.00000001	MCF7	0.573564296	0	0	1	0	0.92
426	DB00477	Chlorpromazine	0.000001	MCF7	0	1	0	0.99	0	0.93
427	DB01088	Iloprost	0.000001	MCF7	0.5507024	0	0	0.99	0	0.94
428	DB05134	Tanespimycin	0.000001	MCF7	0	1	0	1	0	0.95
429	DB02656	LY-294002	0.00001	PC3	0.372721579	0	0	0.97	0	0.91
430	DB00412	Rosiglitazone	0.00001	PC3	0	0.99	0	0.95	0.429331588	0
431	DB00197	Troglitazone	0.00001	PC3	0	1	0	0.98	0	0.94
432	DB05134	Tanespimycin	0.000001	PC3	0	1	0	0.99	0	0.89
433	DB00313	Valproic Acid	0.001	PC3	0.44251316	0	0	0.95	-0.358090611	0.93
434	DB06819	Phenylbutyric acid	0.001	PC3	0	1	0.433967624	0.1	-0.44041769	1
435	DB01051	Novobiocin	0.0001	PC3	0	0.99	0	0.93	-0.403562654	0.95
436	DB08162	Fasudil	0.00001	PC3	0.381478519	0	0	0.96	-0.529638632	1
437	DB01051	Novobiocin	0.0001	MCF7	0.441843227	0	0	1	0.520319271	0
438	DB06778	Cupric sulfate	0.0001	MCF7	0.388016995	0	0	0.98	0.537381899	0
439	DB03940	Oxamic Acid	0.01	MCF7	0.365232189	0.01	0	1	0	0.93
441	DB04557	Arachidonic Acid	0.00001	MCF7	0	1	0	0.99	0	0.93
443	DB04557	Arachidonic Acid	0.00001	MCF7	0	1	0	0.99	0	0.91
444	DB00636	Clofibrate	0.0001	MCF7	0	1	0	0.98	0.544495093	0
445	DB00586	Diclofenac	0.00001	PC3	0	1	0	0.99	0	0.9
447	DB00755	Tretinoin	0.000001	PC3	0	1	0	0.99	0	0.92
450	DB05134	Tanespimycin	0.000001	PC3	0	1	0	0.98	0.621826515	0
451	DB02877	Arotinoid acid	0.0000001	PC3	0.373588252	0.02	0	1	0.465070418	0
452	DB00328	Indometacin	0.0001	PC3	0.499014752	0	0.692946273	0	0.476980493	0.01
453	DB00328	Indometacin	0.0001	MCF7	0	1	0	0.99	0	0.94
454	DB14206	Cobalt chloride	0.0001	MCF7	0	1	0	0.98	0	0.92
455	DB00433	Prochlorperazine	0.00001	MCF7	0	1	0	0.99	0	0.92
458	DB00313	Valproic Acid	0.001	PC3	0	1	0	1	0	0.99
459	DB06778	Cupric sulfate	0.0001	PC3	0	1	0	1	0	0.97
460	DB00746	Deferoxamine	0.0001	PC3	0	1	-0.7	1	0	0.99
461	DB02656	LY-294002	0.00001	PC3	0	0.99	0	0.98	0.450147938	0
462	DB00197	Troglitazone	0.00001	PC3	0	1	0.554550289	0.01	0.454386311	0.01
463	DB00533	Rofecoxib	0.00001	PC3	0	1	0	0.97	0	0.91
482	DB00482	Celecoxib	0.00001	PC3	0	0.97	0	0.96	0.424787453	0
483	DB00619	Imatinib	0.00001	PC3	0.315989026	0.02	0	0.96	0	0.86
485	DB00746	Deferoxamine	0.0001	MCF7	0.402883515	0	0	0.99	0	0.93
488	DB01088	Iloprost	0.000001	MCF7	0.560212658	0	0	0.97	0.593148914	0
490	DB00623	Fluphenazine	0.00001	MCF7	0	1	0	0.98	0	0.89
491	DB00988	Dopamine	0.000001	MCF7	0	1	0	0.96	0	0.93
492	DB00502	Haloperidol	0.00001	MCF7	0.450135757	0	0	0.98	0	0.96
494	DB00623	Fluphenazine	0.00001	SKMEL5	0.312467157	0.03	0.40060316	0.21	0	0.88
496	DB01088	Iloprost	0.000001	SKMEL5	0.401018602	0.01	0.598469401	0	0.457773939	0
497	DB00313	Valproic Acid	0.001	ssMCF7	0	1	0	0.96	0	0.89
499	DB01051	Novobiocin	0.0001	ssMCF7	0	1	0	0.98	0	0.87
500	DB06778	Cupric sulfate	0.0001	ssMCF7	0	0.99	0	0.98	0.45775367	0.01
501	DB02656	LY-294002	0.00001	SKMEL5	0.353545678	0.01	0	0.97	0	0.85
502	DB06819	Phenylbutyric acid	0.0002	SKMEL5	0	1	0	0.97	0	0.86
503	DB00328	Indometacin	0.0001	SKMEL5	0	1	0	0.98	0	0.85
504	DB00197	Troglitazone	0.00001	SKMEL5	0	1	0	0.95	0	0.88
505	DB05134	Tanespimycin	0.000001	SKMEL5	0	1	0	0.99	0	0.91
506	DB08059	Wortmannin	0.00000001	SKMEL5	0	1	0	1	0	0.97
508	DB02010	Staurosporine	0.00000001	SKMEL5	0	0.99	-0.461111111	1	0	0.87
521	DB05134	Tanespimycin	0.000001	ssMCF7	0.466993689	0	0.538888889	0.01	0	0.95
523	DB00947	Fulvestrant	0.000001	ssMCF7	0.516655766	0	-0.422222222	1	0	0.92
524	DB00179	Masoprocol	0.000001	ssMCF7	0.426304683	0	0	1	0	0.92
541	DB00317	Gefitinib	0.00001	HL60	0	1	0	1	0	1
573	DB00746	Deferoxamine	0.0001	MCF7	0.408338066	0.01	0	1	0	0.86
575	DB06778	Cupric sulfate	0.0001	MCF7	0.452914761	0	-0.422222222	1	0	0.82
576	DB01051	Novobiocin	0.0001	MCF7	-0.43487716	1	0	0.97	-0.595979228	1
579	DB07795	Fisetin	0.00005	PC3	0	1	0	1	0	1
591	DB13242	Bucladesine	0.00002	MCF7	0	1	0.816666667	0	0	0.99
592	DB01599	Probucol	0.00001	MCF7	0	1	0	0.99	0	0.94
593	DB02424	Geldanamycin	0.000001	MCF7	0	1	0	1	0.518127444	0.02
595	DB02709	Resveratrol	0.00005	MCF7	0	1	-0.538888889	1	0.561572923	0
596	DB04331	Monastrol	0.0001	MCF7	0	1	0	0.99	0.569089498	0
602	DB00091	Ciclosporin	0.000001	MCF7	0	1	-0.422222222	0.99	0	0.92
603	DB01115	Nifedipine	0.00001	MCF7	0.380036943	0.01	0	1	0	0.95
604	DB04557	Arachidonic Acid	0.00001	MCF7	0.417314769	0	0	1	0.396578822	0.03
605	DB04331	Monastrol	0.00002	MCF7	0	1	0.433512336	0.15	0	0.86
606	DB01041	Thalidomide	0.0001	MCF7	0	1	-0.372222222	0.98	0	0.8
610	DB04331	Monastrol	0.0001	MCF7	0.416825136	0.01	0	0.99	0	0.91
611	DB02424	Geldanamycin	0.000001	MCF7	0	1	0	1	0.446605898	0.01
614	DB04331	Monastrol	0.00002	MCF7	0	1	0	1	0	1
621	DB08313	nocodazole	0.000001	MCF7	0	1	0.837080707	0	0	1
622	DB02709	Resveratrol	0.00005	MCF7	0	1	0	1	0	1
627	DB04331	Monastrol	0.0001	MCF7	0	1	0	1	0	1
629	DB00313	Valproic Acid	0.001	SKMEL5	0	1	0	1	0	1
630	DB01394	Colchicine	0.000001	SKMEL5	0	1	0	1	0	1
631	DB12783	Benserazide	0.00001	SKMEL5	0	1	0	1	0	1
632	DB01051	Novobiocin	0.0001	SKMEL5	0	1	0	1	0	1
638	DB01645	Genistein	0.00001	MCF7	0	1	0	1	0	0.89
639	DB00738	Pentamidine	0.0001	MCF7	0	1	0	0.97	-0.37033126	0.94
640	DB01229	Paclitaxel	0.0000001	MCF7	0	1	0	1	0	0.96
641	DB12783	Benserazide	0.00001	MCF7	0.493806838	0	0	1	0.579140041	0
642	DB00352	Tioguanine	0.00001	MCF7	0	1	0	0.97	0	0.91
644	DB01394	Colchicine	0.0000001	MCF7	0	1	0	1	0	0.91
662	DB02709	Resveratrol	0.00005	PC3	0.479857702	0	0.590030353	0.01	0.479733602	0
665	DB00783	Estradiol	0.00000001	PC3	0	1	0	0.99	0	0.93
667	DB01033	Mercaptopurine	0.00001	PC3	0	1	0.491437725	0.08	0	0.88
668	DB04331	Monastrol	0.0001	PC3	0	1	0	1	0	0.94
681	DB04331	Monastrol	0.0001	MCF7	0	1	0	1	0	1
703	DB01645	Genistein	0.00001	PC3	0.637422805	0	0	1	0	1
704	DB00947	Fulvestrant	0.000001	PC3	0.762651649	0	0	1	0	0.99
782	DB00783	Estradiol	0.00000001	HL60	0	1	0	1	0	1
783	DB02587	Colforsin	0.00005	HL60	0	1	0	1	0	1
826	DB00457	Prazosin	0.00001	MCF7	0	1	0	1	0	0.99
831	DB05134	Tanespimycin	0.000001	MCF7	0	1	0	1	0	1
835	DB00564	Carbamazepine	0.0000001	MCF7	0	1	0	1	0	1
841	DB02709	Resveratrol	0.00001	MCF7	0.516651914	0	0	1	0	1
842	DB13242	Bucladesine	0.000002	MCF7	0	1	0	1	0.677382135	0
848	DB01023	Felodipine	0.00001	MCF7	0	1	-0.805555556	1	0	0.99
849	DB00755	Tretinoin	0.000001	MCF7	0.698297364	0	0	1	0	1
863	DB00991	Oxaprozin	0.0003	MCF7	0	1	0	1	0	0.98
864	DB02424	Geldanamycin	0.000001	MCF7	0	1	0	1	0.705175768	0
869	DB08059	Wortmannin	0.000001	MCF7	0.551338017	0	0	1	0.728769273	0
870	DB06816	Pyrvinium	0.00000125	MCF7	0	1	0	1	0	1
905	DB00257	Clotrimazole	0.00005	MCF7	0	1	0	1	0	0.99
910	DB00831	Trifluoperazine	0.00001	MCF7	0	1	-0.844444444	1	0	1
911	DB08059	Wortmannin	0.00000001	MCF7	0.634075861	0	0	1	0.762921684	0
913	DB02587	Colforsin	0.00005	MCF7	0.598446219	0	0	1	0	1
915	DB00273	Topiramate	0.000003	MCF7	0	1	0	1	0.724343313	0
916	DB05134	Tanespimycin	0.000001	MCF7	0	1	0	1	0.72209694	0
917	DB04216	Quercetin	0.000001	MCF7	0	1	0	1	0.64007768	0
919	DB00564	Carbamazepine	0.0000001	MCF7	0	1	0	1	0.736126082	0
920	DB01262	Decitabine	0.0000001	MCF7	0	1	0	1	0.787754112	0
921	DB00877	Sirolimus	0.0000001	MCF7	0.601148356	0	0	1	0	0.99
922	DB00482	Celecoxib	0.00001	MCF7	0	1	0	1	0.837356295	0
942	DB00457	Prazosin	0.00001	MCF7	0	1	0	1	0	0.99
947	DB05134	Tanespimycin	0.000001	MCF7	0	1	0	1	0	1
952	DB00564	Carbamazepine	0.0000001	MCF7	0	1	-0.805555556	1	0	1
958	DB02709	Resveratrol	0.00001	MCF7	0	1	-0.783333333	1	0	0.99
959	DB13242	Bucladesine	0.000002	MCF7	0	1	0	1	0	1
965	DB01023	Felodipine	0.00001	MCF7	-0.696298163	1	0	1	0.71506057	0
966	DB00755	Tretinoin	0.000001	MCF7	0	1	0	1	0	1
971	DB00991	Oxaprozin	0.0003	MCF7	0	1	0	1	0	1
972	DB02424	Geldanamycin	0.000001	MCF7	0	1	0	1	0	1
977	DB08059	Wortmannin	0.000001	MCF7	0.57706371	0	0	1	0	1
978	DB06816	Pyrvinium	0.00000125	MCF7	-0.591696054	1	0	1	0	1
983	DB00502	Haloperidol	0.00001	MCF7	0	1	0.738888889	0.01	0.726577972	0
984	DB00945	Acetylsalicylic acid	0.0001	MCF7	0	1	0.627777778	0	0	1
985	DB00947	Fulvestrant	0.000001	MCF7	0.630207558	0	0	1	0	0.99
986	DB05134	Tanespimycin	0.000001	MCF7	0	1	0	1	0	1
987	DB00877	Sirolimus	0.0000001	MCF7	0	1	0	1	-0.633292383	1
988	DB00783	Estradiol	0.0000001	MCF7	0	1	0	1	0.7332711	0
989	DB00313	Valproic Acid	0.001	MCF7	0	1	0	1	0	1
991	DB00755	Tretinoin	0.000001	MCF7	0	1	0	1	0	0.99
993	DB12442	Alvespimycin	0.0000001	MCF7	0	1	-0.594444444	1	0	0.99
994	DB00313	Valproic Acid	0.0002	MCF7	0	1	0	1	0.708709681	0
995	DB00433	Prochlorperazine	0.00001	MCF7	0	1	0	1	0	0.99
996	DB02656	LY-294002	0.0000001	MCF7	0	1	0	1	0	1
997	DB00477	Chlorpromazine	0.000001	MCF7	0	1	0	1	0	1
998	DB05134	Tanespimycin	0.000001	MCF7	0	1	0.605555556	0.06	0	0.99
1000	DB02546	Vorinostat	0.00001	MCF7	0	1	0	1	0	0.98
1001	DB00877	Sirolimus	0.0000001	MCF7	0.579719825	0	0	1	0	1
1002	DB00313	Valproic Acid	0.00005	MCF7	0	1	0	1	0	1
1003	DB00179	Masoprocol	0.000001	MCF7	0	1	0.80038265	0	0	0.99
1004	DB00831	Trifluoperazine	0.00001	MCF7	-0.528898795	1	0	1	0	0.97
1005	DB05134	Tanespimycin	0.000001	MCF7	0	1	0	1	0	1
1006	DB05134	Tanespimycin	0.000001	MCF7	0	1	0	1	0	0.99
1007	DB02656	LY-294002	0.00001	MCF7	0	1	0	1	0	1
1008	DB02424	Geldanamycin	0.000001	MCF7	0	1	0	1	0	0.99
1009	DB00363	Clozapine	0.00001	MCF7	0	1	0	1	0	1
1010	DB00679	Thioridazine	0.00001	MCF7	0	1	0	1	0	1
1012	DB00197	Troglitazone	0.00001	MCF7	0	1	0	1	0	1
1013	DB00412	Rosiglitazone	0.00001	MCF7	0	1	0	1	0	1
1015	DB01645	Genistein	0.00001	MCF7	0	1	0.694444444	0	0	1
1016	DB02656	LY-294002	0.00001	MCF7	0.588554666	0	0	1	0	0.98
1017	DB00623	Fluphenazine	0.00001	MCF7	0	1	0	1	0	1
1019	DB02656	LY-294002	0.00001	MCF7	0	1	0	1	0	0.99
1020	DB00313	Valproic Acid	0.0005	MCF7	0	1	0	1	0	0.99
1021	DB00783	Estradiol	0.00000001	MCF7	0	1	0	1	0	0.99
1022	DB00877	Sirolimus	0.0000001	MCF7	0.591986192	0	0	1	0	0.98
1023	DB08059	Wortmannin	0.00000001	MCF7	0	1	0	1	0	1
1024	DB00502	Haloperidol	0.00001	MCF7	0	1	0	1	0.802496843	0
1041	DB00502	Haloperidol	0.00001	MCF7	0	1	-0.803142916	1	0	1
1042	DB00945	Acetylsalicylic acid	0.0001	MCF7	0	1	0	1	0	1
1043	DB00947	Fulvestrant	0.000001	MCF7	0.718787336	0	0	1	0	1
1044	DB05134	Tanespimycin	0.000001	MCF7	0	1	0	1	0	1
1045	DB00877	Sirolimus	0.0000001	MCF7	0	1	0	1	0	1
1047	DB00313	Valproic Acid	0.001	MCF7	0	1	0	1	0	1
1049	DB00755	Tretinoin	0.000001	MCF7	0	1	0	1	0	1
1051	DB12442	Alvespimycin	0.0000001	MCF7	0	1	0	1	0	1
1053	DB00433	Prochlorperazine	0.00001	MCF7	0	1	0	1	0	1
1054	DB02656	LY-294002	0.0000001	MCF7	0	1	0	1	0	1
1055	DB00477	Chlorpromazine	0.000001	MCF7	0	1	0	1	0	1
1056	DB05134	Tanespimycin	0.000001	MCF7	0	1	0	1	0	1
1058	DB02546	Vorinostat	0.00001	MCF7	0.694726678	0	0	1	0	1
1059	DB00877	Sirolimus	0.0000001	MCF7	0	1	0	1	0	1
1060	DB00313	Valproic Acid	0.00005	MCF7	0	1	0	1	0	1
1061	DB00179	Masoprocol	0.000001	MCF7	0	1	0	1	0	1
1063	DB05134	Tanespimycin	0.000001	MCF7	0	1	0	1	0	1
1064	DB05134	Tanespimycin	0.000001	MCF7	0	1	0	1	0	1
1065	DB02656	LY-294002	0.00001	MCF7	0	1	0	1	0	1
1066	DB02424	Geldanamycin	0.000001	MCF7	0	1	0	1	0	0.99
1068	DB00679	Thioridazine	0.00001	MCF7	0	1	0	1	0	0.99
1070	DB00197	Troglitazone	0.00001	MCF7	0	1	0	1	0	1
1071	DB00412	Rosiglitazone	0.00001	MCF7	0	1	0	1	0	0.99
1073	DB01645	Genistein	0.00001	MCF7	0	1	0	1	0	1
1074	DB02656	LY-294002	0.00001	MCF7	0	1	0	1	0	1
1075	DB00623	Fluphenazine	0.00001	MCF7	0	1	0	1	0	0.98
1076	DB00947	Fulvestrant	0.00000001	MCF7	0	1	0	1	0	0.99
1077	DB02656	LY-294002	0.00001	MCF7	0	1	0	1	0	1
1078	DB00313	Valproic Acid	0.0005	MCF7	0	1	0	1	0.834981183	0
1079	DB00783	Estradiol	0.00000001	MCF7	0	1	0	1	0	1
1080	DB00877	Sirolimus	0.0000001	MCF7	0	1	0	1	0	1
1081	DB08059	Wortmannin	0.00000001	MCF7	0	1	0	1	0	1
1082	DB00502	Haloperidol	0.00001	MCF7	0	1	0	1	0	1
1103	DB13318	Demecolcine	0.0000117	MCF7	0	1	0	1	0	1
1105	DB11430	Monensin	0.0000109	MCF7	0	1	0	1	0	1
1113	DB00254	Doxycycline	0.0000144	MCF7	0	1	0	1	0	1
1119	DB01392	Yohimbine	0.0000229	MCF7	0	1	0	1	0	1
1135	DB01017	Minocycline	0.0000105	MCF7	0	1	0	1	0	1
1138	DB00692	Phentolamine	0.0000115	MCF7	0	1	0	1	0	1
1144	DB00502	Haloperidol	0.00001	HL60	0	1	0	1	0.586112305	0
1145	DB00945	Acetylsalicylic acid	0.0001	HL60	0	1	0	1	0	0.99
1146	DB00947	Fulvestrant	0.000001	HL60	0	1	0	1	0	0.99
1147	DB05134	Tanespimycin	0.000001	HL60	0	1	0	1	0	1
1148	DB00877	Sirolimus	0.0000001	HL60	-0.534233517	1	-0.766666667	1	0	1
1149	DB00783	Estradiol	0.0000001	HL60	0	1	0	1	0	1
1150	DB00313	Valproic Acid	0.001	HL60	0	1	0	1	0	0.99
1152	DB00755	Tretinoin	0.000001	HL60	0	1	0	1	0	1
1154	DB12442	Alvespimycin	0.0000001	HL60	0.531583856	0	0	1	0.750743134	0
1155	DB00313	Valproic Acid	0.0002	HL60	0	1	0	1	0	0.99
1156	DB00433	Prochlorperazine	0.00001	HL60	0	1	0	1	0	1
1157	DB02656	LY-294002	0.0000001	HL60	0	1	0	1	0	1
1158	DB00477	Chlorpromazine	0.000001	HL60	0	1	0	1	0	1
1159	DB05134	Tanespimycin	0.000001	HL60	0	1	0	1	0	0.99
